Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
9378535393,"Thảm lau chân thấm nước nhà bếp, thảm chùi chân chống trượt nhà tắm capybara, hoa - Hưng Chiếu ED01","12,5k",300k+,Hưng Chiếu,"11,5%",₫1.375,https://shopee.vn/product/13406575/9378535393,https://s.shopee.vn/2BEYfGk8TW
28477248517,Gia Vị Cốt Lẩu Haidilao Tứ Xuyên Trùng Khánh Thả Lẩu 6 Vị Đa Dạng Hương Vị Trung Hoa,"45,0k",40k+,Gia vị Haidilao,"10,5%",₫4.500,https://shopee.vn/product/1432732243/28477248517,https://s.shopee.vn/20v8SxkloV
42868482461,[MUA 2 GIẢM 37%] Combo 1 Hũ Tẩy Da Chết Cơ Thể Cà Phê Đắk Lắk Cocoon 200ml + Túi Refill Tẩy Da Chết Cà Phê 200ml,"159,0k",300k+,Cocoon Vietnam Chính Hãng,"8,5%",₫12.720,https://shopee.vn/product/175753395/42868482461,https://s.shopee.vn/W6KgCqTrE
47010316811,"[COMBO RẺ VÔ ĐỊCH] 10/12 Bịch Rút Đáy Sương Mai, 30 Gói TopGia 3 Màu và 10 Bịch Pio Đa Năng, 10 Bịch Treo Tường Tiểu Hạ","80,0k",50k+,TopGia HCM,"12,5%",₫9.600,https://shopee.vn/product/729014007/47010316811,https://s.shopee.vn/LmuTtr7CD
26173085403,TIPONO LC16 [Tặng Charm Ngẫu Nhiên] Dép Sục EVA Unisex Êm Nhẹ Chống Trượt Đế 3cm Màu Sầu Riêng,"112,7k",50k+,TIPONO Store Vietnam,17%,₫19.159,https://shopee.vn/product/1448030081/26173085403,https://s.shopee.vn/BTUHarkXC
27060254320,"Son tint bóng căng mọng, trong trẻo BBIA Glow Tint","189,0k",100k+,Bbia Official Store,"7,5%",₫13.230,https://shopee.vn/product/9277307/27060254320,https://s.shopee.vn/1A45HsNsB
23318918089,Dầu Tắm ÔLIV 3X Dưỡng Ẩm/Dưỡng Sáng Da/Dành Cho Làn Da Nhạy Cảm 250ML/650ML/1L,"80,0k",100k+,LASHE | PURITÉ | ÔLIV,"8,5%",₫6.400,https://shopee.vn/product/779659055/23318918089,https://s.shopee.vn/1BM1TQnwVQ
55612219291,"Cây Lau Nhà Tự Vắt KITIMOP KTM-45 PRO, Chổi Lau Nhà Tự Vắt Thông Minh Xoay 360 Độ, 2 Bông Lau","239,0k",10k+,Kitimop Official Store,"5,5%",₫11.950,https://shopee.vn/product/76219330/55612219291,https://s.shopee.vn/112bH7oZqP
28290069665,"Balo sao vàng GENBAG balo thời trang nữ đi học đi chơi vải dù trượt nước vừa laptop 14,5 inch BL05","249,0k",70k+,GENBAG,10%,₫24.900,https://shopee.vn/product/127740485/28290069665,https://s.shopee.vn/qjB4opDBO
26456257356,[NE11] Giày Búp Bê Nữ Đế Bằng NESTY Chất Liệu Eva Nguyên Sinh Siêu Bền Êm Nhẹ ( KO2 ),"108,9k",70k+,Nesty Official Store,19%,₫20.691,https://shopee.vn/product/1113586002/26456257356,https://s.shopee.vn/gPksVpqWN
29731554761,[Combo 02 03 gói] Bông tẩy trang Alucos Luxury 210 miếng/gói chính hãng,"130,0k",400k+,Alucos Việt Nam ,"12,5%",₫15.600,https://shopee.vn/product/1116570748/29731554761,https://s.shopee.vn/9fKZb3HaG8
43602019488,[Mua 6 Tặng 4] Combo 10 gói bột vệ sinh lồng máy giặt SAIZA gói tẩy lồng giặt làm sạch kháng khuẩn,"201,0k",30k+,SAIZA.VN,"2,5%",₫4.020,https://shopee.vn/product/1023476268/43602019488,https://s.shopee.vn/9pdznMGwvB
24236950986,"Túi Xách Du Lịch, Túi Đựng Đồ  Đa Năng Nhiều Hoạ Tiết Dạ Nỉ , Phù Hợp Du Lịch Mẹ Bỉm Sữa Phụ Nữ Sinh","49,9k",100k+,MIBAG VN✅,19%,₫9.481,https://shopee.vn/product/298470035/24236950986,https://s.shopee.vn/9KhjCRIqw6
25364830182,[MUA 2 GIẢM 39%] Combo 2 nước dưỡng tóc tinh dầu bưởi Cocoon ngăn ngừa gãy rụng và hỗ trợ mọc tóc 140ml,"199,0k",50k+,Cocoon Vietnam Chính Hãng,"8,5%",₫15.920,https://shopee.vn/product/175753395/25364830182,https://s.shopee.vn/9V19OkIDb9
47457292789,"VƯƠNG THẦN LONG Hằng Đại 220g, gói lớn ăn vặt tuổi thơ -1G","19,5k",70k+,Midass Vietnam,"2,5%",₫390,https://shopee.vn/product/1645454289/47457292789,https://s.shopee.vn/AKaGOHF2uK
27874038763,"Combo áo mưa trong suốt, áo mưa bỏ túi Nason nhỏ gọn, dễ dàng mang theo, mỏng nhẹ, chống thấm nước","44,0k",30k+,Nason Umbrella Official Store,12%,₫5.280,https://shopee.vn/product/400502712/27874038763,https://s.shopee.vn/AUtgaaEPZN
20552777484,Bánh trung thu cổ truyền nướng dẻo Lâm Thuỷ - vỏ mỏng mềm mại đủ vị,"25,0k",60k+,Bánh Trung Thu Lâm Thủy,"11,5%",₫2.750,https://shopee.vn/product/48700678/20552777484,https://s.shopee.vn/9zxPzfGJaI
23443887689,Xịt mọc tóc Lab on Hair 160ml xịt dưỡng tóc với giấm táo Kích thích mọc tóc Rụng Tóc,"168,0k",800k+,Lab On Hair Official Store ,"7,5%",₫11.760,https://shopee.vn/product/947126326/23443887689,https://s.shopee.vn/AAGqByFgFL
29913722217,[Choice] Mũ lưỡi trai nam nữ Jussy Official thêu chữ Her form mềm thời trang Hàn Quốc,"35,0k",200k+,Jussy Official,16%,₫5.600,https://shopee.vn/product/22431875/29913722217,https://s.shopee.vn/8KpC0bMey0
24922427465,[MUA 2 GIẢM 42%] Combo 2 Nước tẩy trang bí đao Cocoon tẩy sạch makeup & giảm dầu 500ml,"329,0k",200k+,Cocoon Vietnam Chính Hãng,"8,5%",₫26.320,https://shopee.vn/product/175753395/24922427465,https://s.shopee.vn/8V8cCuM1d3
57008297981,"[Deal mở bán] Áo thun cotton xước tay dài 'Comic.Club', thoáng mát.","199,0k",10k+,COMIC.CLUB,12%,₫23.880,https://shopee.vn/product/1323851348/57008297981,https://s.shopee.vn/80CLbzNvdy
